sample_ts;northHeading;IMULatAcceleration;IMULgtAcceleration;IMUVerAcceleration;SteeringWhlAngle;IMURollRate;IMUYawRate;groundSpeed
1584853188806337;30.11798;;;;;;;
1584853189006316;30.73915;;;;;;;
1584853189206327;31.33925;;;;;;;
1584853189406291;31.93091;;;;;;;
1584853189606342;32.49985;;;;;;;
1584853189806288;33.06195;;;;;;;
1584853190006324;33.61835;;;;;;;
1584853190206283;34.14869;;;;;;;
1584853190406338;34.55315;;;;;;;
1584853190606363;34.79561;;;;;;;
1584853190806324;35.00624;;;;;;;
1584853191006348;35.19354;;;;;;;
1584853191206343;35.35023;;;;;;;
1584853191406383;35.50037;;;;;;;
1584853191606307;35.62503;;;;;;;
1584853191806310;35.6981;;;;;;;
1584853192006343;35.75292;;;;;;;
1584853192206326;35.84138;;;;;;;
1584853192406341;35.9772;;;;;;;
1584853192606300;36.13646;;;;;;;
1584853192806311;36.31384;;;;;;;
1584853193006345;36.49166;;;;;;;
1584853193206387;36.65868;;;;;;;
1584853193406319;36.88233;;;;;;;
1584853193606326;37.08693;;;;;;;
1584853193806379;37.17508;;;;;;;
1584853194006322;37.31221;;;;;;;
1584853194206300;37.48662;;;;;;;
1584853194406326;37.66914;;;;;;;
1584853194606325;37.89454;;;;;;;
1584853194806351;38.11365;;;;;;;
1584853195006406;38.30117;;;;;;;
1584853195206331;38.50396;;;;;;;
1584853195406309;38.70864;;;;;;;
1584853195606356;38.93434;;;;;;;
1584853195806374;39.18135;;;;;;;
1584853196006424;39.5201;;;;;;;
1584853196206344;39.9586;;;;;;;
1584853196406366;40.49354;;;;;;;
1584853196606323;41.0496;;;;;;;
1584853196806377;41.67391;;;;;;;
1584853197006397;42.37658;;;;;;;
1584853197206326;43.08448;;;;;;;
1584853197406374;43.78555;;;;;;;
1584853197606346;44.45725;;;;;;;
1584853197806331;45.11543;;;;;;;
1584853198006378;45.81756;;;;;;;
1584853198206370;46.61104;;;;;;;
1584853198406424;47.41194;;;;;;;
1584853198606418;48.13892;;;;;;;
1584853198806441;48.72671;;;;;;;
1584853199006426;49.22378;;;;;;;
1584853199206359;49.73224;;;;;;;
1584853199406369;50.237;;;;;;;
1584853199606318;50.70888;;;;;;;
1584853199806440;51.10605;;;;;;;
1584853200006406;51.39874;;;;;;;
1584853200206335;51.58002;;;;;;;
1584853200406401;51.74284;;;;;;;
1584853200606326;51.88034;;;;;;;
1584853200806410;52.00543;;;;;;;
1584853201006439;52.09854;;;;;;;
1584853201206380;52.1876;;;;;;;
1584853201406473;52.28125;;;;;;;
1584853201606352;52.37731;;;;;;;
1584853201806373;52.49409;;;;;;;
1584853202006384;52.62043;;;;;;;
1584853202206394;52.73561;;;;;;;
1584853202406460;52.75878;;;;;;;
1584853202606432;52.77391;;;;;;;
1584853202806389;52.83676;;;;;;;
1584853203006422;52.94017;;;;;;;
1584853203206394;53.07518;;;;;;;
1584853203406387;53.2121;;;;;;;
1584853203606370;53.35175;;;;;;;
1584853203806389;53.47088;;;;;;;
1584853204006513;53.6195;;;;;;;
1584853204206348;53.74531;;;;;;;
1584853204406398;53.79309;;;;;;;
1584853204606436;53.82746;;;;;;;
1584853204806399;53.87049;;;;;;;
1584853205006411;53.91185;;;;;;;
1584853205206419;53.93468;;;;;;;
1584853205406414;53.95294;;;;;;;
1584853205606373;54.00299;;;;;;;
1584853205806503;54.06536;;;;;;;
1584853206006488;54.13284;;;;;;;
1584853206206407;54.20674;;;;;;;
1584853206406444;54.24866;;;;;;;
1584853206606427;54.28333;;;;;;;
1584853206806440;54.25446;;;;;;;
1584853207006412;54.15704;;;;;;;
1584853207206434;54.0405;;;;;;;
1584853207406438;53.95131;;;;;;;
1584853207606453;53.91932;;;;;;;
1584853207806434;53.96836;;;;;;;
1584853208006481;54.06594;;;;;;;
1584853208206409;54.17839;;;;;;;
1584853208406460;54.30312;;;;;;;
1584853208606513;54.41822;;;;;;;
1584853208806494;54.5369;;;;;;;
1584853209006570;54.64592;;;;;;;
1584853209206396;54.78093;;;;;;;
1584853209406484;54.91198;;;;;;;
1584853209606486;55.02863;;;;;;;
1584853209806469;55.14547;;;;;;;
1584853210006444;55.30282;;;;;;;
1584853210206437;55.36264;;;;;;;
1584853210406462;55.34263;;;;;;;
1584853210606478;55.33932;;;;;;;
1584853210806487;55.32883;;;;;;;
1584853211006468;55.28108;;;;;;;
1584853211206425;55.14616;;;;;;;
1584853211406473;54.85188;;;;;;;
1584853211606527;54.33681;;;;;;;
1584853211806518;53.66201;;;;;;;
1584853212006476;52.98317;;;;;;;
1584853212206489;52.2752;;;;;;;
1584853212406438;51.63272;;;;;;;
1584853212606486;51.09726;;;;;;;
1584853212806548;50.69854;;;;;;;
1584853213006503;50.52339;;;;;;;
1584853213206460;50.4947;;;;;;;
1584853213406476;50.46522;;;;;;;
1584853213606463;50.52906;;;;;;;
